orderNumber,winery,dataInCollectionYear
995,crooked-barrel-vineyard,
996,inland-desert-nursery,
997,mount-si-tasting-room,
998,truthteller-walla-walla-tasting-room,
999,canoe-ridge-estate-vineyard,
1000,a-family-owned-boutique-winery-tasting-room,
1001,muret-gaston-vineyard,
1002,olalla-valley-vineyard-winery-llc,
1003,wells-winery,
1004,golden-ridge-cellars,
1005,ee-shaw-vineyards,
1006,mackey-vineyards,
1007,hard-row-to-hoe-vineyards-leavenworth-tasting-parlour,
1008,alice-vineyard,
1009,equus-vineyards,
1010,ceili-winery,
1011,daven-lore-winery,
1012,chandler-reach-vineyards,
1013,coyote-vineyard,
1014,frol-family-vineyard,
1015,syncline,
1016,house-of-smith-downtown-walla-walla,
1017,blooms-winery,
1018,desert-wind-winery-2,
1019,maryhill-winery-woodinville-tasting-room,
1020,reynvaan-family-vineyards,
1021,abbe-vineyard-winery,
1022,coyote-canyon-winery,
1023,jones-of-washington,
1024,jm-cellars,
1025,davidson-vineyard,
1026,raptor-river-vineyard,
1027,walla-walla-vintners,
1028,dumas-station-wines,
1029,morrison-vineyard,
1030,ancestry-cellars-manson-tasting-room,
1031,kasia-winery,
1032,long-shadows-vintners,
1033,kontos-cellars,
1034,gregarious-cellars,
1035,treveri-estate-vineyard,
1036,riverbend-vineyard-2,
1037,hood-river-tasting-room,
1038,woohoo-winery,
1039,two-loons-winery,
1040,leonetti-cellar-2,
1041,sonny-daze-cellars,
1042,entiat-valley-vineyards-llc,
1043,camas-cove-cellars,
1044,aquilini-horse-heaven-hills-vineyards,
1045,fish-brewing-co,
1046,rider-family-vineyards,
1047,shaw-red-mountain-henry-earl-estates-llc,
1048,sagemoor-vineyards,
1049,double-canyon,
1050,whiskey-barrel-cider-company,
1051,bouchard-lake-winery,
1052,bayernmoor-cellars-at-woodin-creek-village,
1053,hawkins-cellars,
1054,double-canyon-vineyard,
1055,laurelhurst-cellars,
1056,liberty-lake-wine-cellars,
1057,distefano-winery,
1058,archibald-james,
1059,seven-hills-winery,
1060,chateau-noelle-vineyards-winery-2,
1061,foolhardy-vintners,
1062,tsillan-cellars-2,
1063,tudor-hills-vineyard,
1064,naches-heights-vineyard-winery-nhv-2,
1065,waters-winery,
1066,roland-wines,
1067,woodinville-custom-wines,
1068,lagana-cellars,
1069,alpenfire-cider,
1070,balcom-moe-inc,
1071,lonesome-spring-ranch,
1072,diane-boly,
1073,northwest-wine-academy,
1074,lupine-vineyards,
1075,buckeye-vineyard,
1076,wallula-gap-vineyards,
1077,carls-pond-winery,
1078,covington-cellars-2,
1079,gorman-winery,
1080,barons-winery,
1081,rotie-cellars,
1082,eternal-wines-drink-washington-state,
1083,isenhower-cellars,
1084,michaels-vineyard,
1085,simcoe-creek-winery,
1086,heisen-house-vineyards-2,
1087,english-estate-winery,
1088,edward-lynne-cellars-2,
1089,adams-bench-winery-woodin-creek-tasting-room,
1090,twilight-cider-works,
1091,guardian-cellars-tasting-room,
1092,lodmell-vineyards,
1093,boushey-vineyards,
1094,crawford-vineyards,
1095,adams-bench,
1096,prosser-vineyard-winery-2,
1097,whiskey-canyon-vineyards,
1098,dineen-vineyards,
1099,novelty-hill-januik-winery,
1100,tanjuli-vineyard,
1101,gilbert-cellars-winery,
1102,foxy-roxy-wine-company,
1103,desert-wind-winery,
1104,snipes-mountain-vineyards,
1105,covington-cellars,
1106,china-bend-vineyards-2,
1107,market-vineyards,
1108,shaw-horn-rapids,
1109,terra-blanca-winery-estate-vineyard-2,
1110,jones-of-washington-2,
1111,kana-winery-2,
1112,whiskey-gulch-llc,
1113,jones-of-washington-quincy-public-market-tasting-room,
1114,efeste,
1115,marrowstone-vineyards,
1116,elevation-cellars,
1117,heart-of-the-hill,
1118,elizabeth-vineyard,
1119,aquilini-brands-usa-inc,
1120,trillium-creek-winery,
1121,glacial-lake-missoula-wine-co-glm,
1122,college-cellars-of-walla-walla,
1123,yakima-valley-college-teaching-winery,
1124,graves-vineyard,
1125,white-heron-cellars,
1126,burke-vineyard,
1127,tucannon-cellars-2,
1128,warr-king-wines,
1129,sul-lago-winery-coffee,
1130,doebler-orchards-inc,
1131,sulei-cellars-vancouver-tasting-room,
1132,tricycle-cellars,
1133,icon-cellars,
1134,airfield-estates-vancouver-tasting-room,
1135,waving-tree-tasting-room,
1136,rasa-vineyards,
1137,tinte-cellars,
1138,obelisco-estate-leavenworth,
1139,ventimiglia-cellars,
1140,siren-song-wines,
1141,rocky-reach-estate-vineyard,
1142,sonny-daze-cellars-2,
1143,bledsoe-family-winery,
1144,naches-heights-vineyard-winery-nhv,
1145,adamant-cellars-2,
1146,monte-scarlatto-estate-winery-and-vineyard,
1147,claar-cellars,
1148,sigillo-cellars-2,
1149,chateau-rollat-winery-llc,
1150,three-brothers-vineyard-winery,
1151,tsillan-cellars,
1152,lopez-island-vineyards-winery,
1153,horizons-edge-winery,
1154,sailor-vineyard,
1155,vibe-cellars-tasting-room,
1156,jm-cellars-estate-vineyard-margarets-vineyard,
1157,siren-of-the-lake-vineyard,
1158,gunpowder-creek-llc,
1159,allechant-vineyards,
1160,wild-rose-vineyard,
1161,coyote-canyon-vineyards,
1162,kerloo-cellars,
1163,china-bend-vineyards,
1164,hard-hat-winery-2,
1165,artifex-wine-company,
1166,basel-cellars-leavenworth-tasting-room,
1167,az-living,
1168,thurtle-vineyard,
1169,two-blondes-vineyard,
1170,lane-cellars,
1171,braden-heights-vineyard,
1172,canoe-ridge-vineyard-2,
1173,maury-island-winery,
1174,tunnel-hill-winery-2,
1175,michael-florentino-cellars,
1176,desert-aire-vineyard,
1177,scatter-creek-winery,
1178,waving-tree-vineyards,
1179,hierophant-meadery,
1180,syncline-winery,
1181,alia-wines,
1182,pinebrake-vineyard,
1183,benson-vineyards-estate-winery,
1184,kinhaven-winery,
1185,hedges-family-estate,
1186,mt-st-helens-cellars,
1187,kamiak-vineyards,
1188,silver-bell-winery,
1189,lone-point-cellars-2,
1190,flerchinger-vineyards-and-winery,
1191,palencia-wine-co,
1192,bosma-ag,
1193,valley-grove-vineyard,
1194,laht-neppur-cellars,
1195,waterbrook-winery-2,
1196,abberin-vineyard,
1197,hogue-ranches,
1198,four-lakes-winery,
1199,tinte-estates-vineyard,
1200,lord-lion-winery,
1201,perennial-vintners,
1202,tinte-cellars-seattle-georgetown,
1203,dry-lake-vineyards,
1204,goose-ridge-estate-vineyard,
1205,samson-estates-winery-2,
1206,alexandria-nicole-cellars-destiny-ridge,
1207,welcome-road-winery,
1208,t2-cellar-llc,
1209,eilers-farms,
1210,south-hill-vineyards,
1211,journey-west-vineyard,
1212,echolands-winery,
1213,konnowac-vineyard,
1214,zephyr-ridge-vineyard-llc,
1215,figgins,
1216,lopez-island-vineyards,
1217,goose-ridge-estate-winery-leavenworth,
1218,plain-cellars-llc,
1219,canyon-vineyard-ranch,
1220,j-bell-cellars,
1221,mansion-creek-cellars,
1222,parejas-cellars-2,
1223,echolands-winery-tasting-room,
1224,descendant-cellars,
1225,waterbrook-estate-vineyard,
1226,reynvaan-family-vineyard,
1227,savage-grace-vineyard,
1228,bella-terrazza-vineyards-2,
1229,lone-birch-winery,
1230,hinzerling-estate,
1231,sauer-mountain-vineyard,
1232,kestrel-view-estates,
1233,truthteller-woodinville-tasting-room,
1234,pellet-estate-vineyard-walla-walla,
1235,secret-squirrel,
1236,plain-cellars-downtown,
1237,castillo-de-feliciana-woodinville-tasting-room,
1238,dynasty-cellars,
1239,confluence-vineyards-winery,
1240,finnriver-farm-cidery,
1241,abeja-2,
1242,helix-wines-spokane-tasting-room,
1243,madrone-cellars,
1244,malaga-springs-winery-2,
1245,passing-time,
1246,l3-wines-llc,
1247,page-cellars,
1248,brunos-by-va-piano,
1249,sailor-vineyard-2,
1250,chorus-frog-winery,
1251,lullaby,
1252,twb-pine-creek-llc,
1253,wawawai-canyon,
1254,ribbon-cliff,
1255,stomani-cellars,
1256,martinez-martinez-winery,
1257,callan-cellars,
1258,brady-cellars,
1259,washington-vineyards,
1260,monkey-winery-corporation,
1261,lake-chelan-winery-2,
1262,chateau-beck,
1263,columbia-winery,
1264,cawley-vineyards,
1265,wilridge-vineyard,
1266,pearl-and-stone-wine-co,
1267,lawrelin-wine-cellars,
1268,r-a-f-farms,
1269,rio-vista-winery-llc,
1270,bel-villa-vineyard,
1271,noviello-vineyards,
1272,efeste-2,
1273,water-from-wine-2,
1274,milbrandt-family-wines-llc,
1275,anelare,
1276,comforts-of-whidbey,
1277,the-bunnell-family-cellar,
1278,salida,
1279,philips-vineyard,
1280,navarre-coulee-vineyards,
1281,tipsy-canyon-vineyard,
1282,glacier-peak-vineyard,
1283,local-cool-climate-quality,
1284,betz-family-winery-rhone-style-wines,
1285,den-hoed-wine-estates,
1286,nefarious-cellars-3,
1287,cougar-crest-estate-winery,
1288,canyons-red-mountain-vineyard-llc,
1289,ranch-at-the-end-of-the-road-2,
1290,ancient-stones-vineyard,
1291,lobo-hills,
1292,antolin-estate-vineyard,
1293,wautoma-springs-winery,
1294,sonnet-vineyard,
1295,jolet-vineyard,
1296,gino-cuneo-cellars,
1297,red-mountain-vineyard-llc,
1298,ott-hunter-wines-shc,
1299,severino-cellars-2,
1300,pacific-rim,
1301,south-hill-winery,
1302,springboard-winery,
1303,shaw-mattawa-1,
1304,camas-cove-vineyards,
1305,stemilt-creek-winery-tasting-room,
1306,wilridge-winery-seattle,
1307,sheridan-vineyard-3,
1308,riverbend-vineyard,
1309,keira-cellars,
1310,doubleback,
1311,ancestry-cellars-woodinville-tasting-room,
1312,pasxa-at-the-walls,
1313,whitman-hill-vineyard,
1314,westhill-orchard,
1315,monte-scarlatto-estate,
1316,water-from-wine-leavenworth,
1317,pine-creek-vineyard,
1318,walla-walla-vintners-cut-bank-estate-vineyard,
1319,marcusen-milbrandt,
1320,prosser-vineyard-winery,
1321,columbia-washington-orchards-llc,
1322,alexander-the-grape,
1323,brian-carter-cellars,
1324,lookout-point-winery,
1325,js-crushing-llc-2,
1326,willow-run-vineyard-2,
1327,red-mountain-trails-winery,
1328,airport-ranch-wine-estates,
1329,beaumont-cellars-winery-in-quincy,
1330,white-heron-cellars-2,
1331,whitewood-cider-co,
1332,walter-dacon-wines,
1333,efeste-vineyard-llc,
1334,willow-wine-cellars,
1335,patterson-cellars-leavenworth-tasting-room,
1336,chateau-lill,
1337,babick-cellars-llc,
1338,brady-cellars-2,
1339,quintessence-vineyard,
1340,los-oidos-vineyards,
1341,vinaceus-wine-boss,
1342,wanaka-winery,
1343,familigia-vineyards-2,
1344,furion-cellars,
1345,atavus,
1346,townshend-cellar-tasting-room,
1347,alleromb,
1348,underground-wine-project,
1349,methow-valley-winery,
1350,agape-vineyard-inc,
1351,sunset-bench-2,
1352,pomeroy-cellars-2,
1353,redpath-vineyard,
1354,wasem-estate-vineyard,
1355,ross-andrew-winery,
1356,sol-stone-winery-production,
1357,aluve,
1358,lucky-bohemian-farm,
1359,ribbon-cliff-vineyards,
1360,smasne-cellars-woodinville,
1361,locus-wines,
1362,bergdorf-cellars,
1363,cougar-crest-winery-spokane-tasting-room,
1364,trothe,
1365,usurious-wines,
1366,market-vineyards-woodinville-tasting-room,
1367,wawawai-canyon-vineyard,
1368,stonemarker,
1369,pomeroy-cellars,
1370,latta-wines,
1371,ancestry-cellars,
1372,menozzi-estate-vineyard,
1373,tulpen-cellars,
1374,pisel-wilbur-vineyard,
1375,wilridge-winery-woodinville,
1376,baer-winery,
1377,barnard-griffin-winery,
1378,moose-canyon-winery,
1379,somme-des-parties,
1380,lee-palamo-vineyard,
1381,cougar-crest-estate-winery-2,
1382,shaw-red-mountain-s-20-llc,
1383,bridge-press-cellars,
1384,maryhill-winery,
1385,desmodus-vena,
1386,ita-wines,
1387,gamache-vintners,
1388,forgeron-cellars-walla-walla,
1389,rockridge-orchards-cidery,
1390,eleven-winery-bainbridge-tasting-room,
1391,goff-vineyard-llc,
1392,double-river,
1393,vinesmiths-cellar,
1394,two-vintners-at-the-vault,
1395,rosebud-vineyards-inc,
1396,patterson-cellars-seattle-tasting-room,
1397,olympic-cellars,
1398,pasek-cellars-tasting-room,
1399,milbrandt-vineyards,
1400,conley-vineyard,
1401,eagle-haven-vineyard,
1402,rooted-souls-winery,
1403,agate-creek-cellars,
1404,gard-public-house,
1405,overbluff-cellars,
1406,j-bookwalter-winery,
1407,force-majeure-red-mountain-estate-vineyard,
1408,charbonneau-vineyard,
1409,adrice-wines,
1410,wedge-mountain-winery,
1411,swiftwater-cellars,
1412,dancing-fish-vineyards,
1413,neppel-vineyard,
1414,chris-daniel-winery,
1415,tapteil-vineyard,
1416,trezzi-farm,
1417,ginkgo-forest-winery-2,
1418,livin-right-wines,
1419,french-creek-vineyards,
1420,powerline,
1421,s-o-fruit,
1422,latah-creek-tasting-room,
1423,spanish-castle,
1424,cox-canyon-vineyards,
1425,wines-of-sagemoor,
1426,greenbank-vineyard,
1427,waving-tree-winery,
1428,vancouver-tasting-room-and-wine-bar,
1429,flying-m-farms,
1430,shaw-high-river-llc,
